,dt,Open,Close,High,Low,Vol
0,2020-09-23,36.5,43.8,43.8,36.5,4389060.0
1,2020-09-24,48.18,48.18,48.18,48.18,1980198.0
2,2020-09-25,53.0,46.16,53.0,46.1,393323872.0
3,2020-09-28,43.3,41.54,44.0,41.54,111481235.0
4,2020-09-29,38.1,37.66,39.86,37.44,171246363.0
5,2020-09-30,37.85,37.31,38.08,37.16,78126276.0
6,2020-10-09,37.81,38.43,38.83,37.62,89021582.0
7,2020-10-12,39.0,39.82,40.55,38.65,124529358.0
8,2020-10-13,39.41,39.8,40.2,39.06,101356615.0
9,2020-10-14,39.9,40.11,40.99,39.4,106238015.0
10,2020-10-15,40.12,38.8,40.18,38.8,81372782.0
11,2020-10-16,38.44,39.08,39.36,38.44,63986532.0
12,2020-10-19,39.0,38.07,39.0,38.04,56465453.0
13,2020-10-20,38.08,38.83,38.83,37.88,49090385.0
14,2020-10-21,38.71,40.3,41.55,38.71,126680546.0
15,2020-10-22,40.0,39.65,40.75,39.5,88858277.0
16,2020-10-23,39.8,39.45,40.2,39.28,66558858.0
17,2020-10-26,39.43,40.07,40.12,38.47,69153665.0
18,2020-10-27,39.7,38.95,39.97,38.63,70671825.0
19,2020-10-28,38.9,38.98,39.17,38.12,57045043.0
20,2020-10-29,38.36,38.3,38.79,38.25,42975080.0
21,2020-10-30,38.4,36.88,38.48,36.88,63086444.0
22,2020-11-02,36.75,36.28,37.08,35.69,46026316.0
23,2020-11-03,36.44,37.62,37.63,36.42,43769145.0
24,2020-11-04,37.66,37.7,37.99,37.31,36110885.0
25,2020-11-05,37.98,38.16,38.23,37.56,41810172.0
26,2020-11-06,38.08,38.55,38.83,38.08,58191429.0
27,2020-11-09,38.77,39.43,39.86,38.59,72508863.0
28,2020-11-10,39.55,38.93,39.69,38.82,57755337.0
29,2020-11-11,38.91,38.84,39.54,38.3,53220835.0
30,2020-11-12,38.7,37.76,38.98,37.6,45509914.0
31,2020-11-13,37.42,37.71,37.98,37.28,24233554.0
32,2020-11-16,37.8,39.12,39.2,37.79,55934136.0
33,2020-11-17,38.99,39.29,39.53,38.6,55576632.0
34,2020-11-18,39.09,39.94,39.99,38.9,85714314.0
35,2020-11-19,39.62,39.59,40.83,39.47,78094202.0
36,2020-11-20,39.48,41.0,41.3,39.1,110506698.0
37,2020-11-23,41.0,40.22,41.0,40.12,72930440.0
38,2020-11-24,40.25,40.62,40.65,39.32,67948557.0
39,2020-11-25,40.77,39.79,40.77,39.7,51066402.0
40,2020-11-26,39.59,39.05,39.9,38.87,39642176.0
41,2020-11-27,39.05,39.26,39.64,38.76,36591190.0
42,2020-11-30,39.31,38.71,39.32,38.56,33324837.0
43,2020-12-01,38.5,38.88,39.11,38.42,26257343.0
44,2020-12-02,38.88,41.56,42.0,38.73,128348967.0
45,2020-12-03,41.17,40.58,41.86,40.5,75932727.0
46,2020-12-04,40.36,40.55,40.99,40.11,47077473.0
47,2020-12-07,40.51,42.07,42.77,40.51,95841321.0
48,2020-12-08,42.09,41.45,42.55,41.38,62559455.0
49,2020-12-09,41.25,40.31,41.36,40.3,48056499.0
50,2020-12-10,40.03,40.25,40.95,39.58,42631041.0
51,2020-12-11,40.23,39.11,40.49,37.8,75170157.0
52,2020-12-14,38.71,39.08,39.42,38.5,29092825.0
53,2020-12-15,39.15,39.65,39.98,38.6,35237251.0
54,2020-12-16,39.56,38.1,39.58,38.05,36855442.0
55,2020-12-17,38.05,38.41,38.49,37.21,32749797.0
56,2020-12-18,38.35,38.01,39.0,37.98,22376581.0
57,2020-12-21,37.75,37.91,38.33,37.7,20713474.0
58,2020-12-22,37.71,37.62,38.6,37.6,26209827.0
59,2020-12-23,37.5,37.9,37.94,37.5,26178365.0
60,2020-12-24,37.9,37.11,37.99,36.54,41419688.0
61,2020-12-25,37.12,38.4,38.4,36.8,60749030.0
62,2020-12-28,38.0,38.4,38.48,37.6,32991354.0
63,2020-12-29,38.14,37.8,38.51,37.35,29827637.0
64,2020-12-30,37.85,37.85,38.68,37.67,52194442.0
65,2020-12-31,37.9,37.96,38.27,37.41,36952614.0
66,2021-01-04,37.65,37.97,38.34,37.48,51687477.0
67,2021-01-05,37.72,37.91,37.97,37.54,34631208.0
68,2021-01-06,37.99,38.74,38.88,37.61,74562805.0
69,2021-01-07,38.68,39.5,39.88,38.08,86998116.0
70,2021-01-08,39.39,38.36,39.5,38.14,56046170.0
71,2021-01-11,38.1,37.05,38.38,37.0,68531514.0
72,2021-01-12,36.9,36.98,37.67,36.89,47976169.0
73,2021-01-13,36.98,37.15,37.9,36.88,59331064.0
74,2021-01-14,37.05,37.63,38.3,37.0,53767232.0
75,2021-01-15,37.89,39.07,39.47,37.4,103376131.0
76,2021-01-18,38.99,37.77,39.9,37.53,105502318.0
77,2021-01-19,37.57,36.61,37.57,36.18,61636125.0
78,2021-01-20,36.49,36.7,36.79,36.36,26276956.0
79,2021-01-21,36.79,36.31,36.79,36.02,29191656.0
80,2021-01-22,36.2,35.0,36.22,35.0,47215535.0
81,2021-01-25,34.85,33.86,34.85,33.6,37293896.0
82,2021-01-26,33.9,34.3,34.47,33.31,22055867.0
83,2021-01-27,33.79,34.0,34.4,33.79,14589930.0
84,2021-01-28,34.0,33.87,34.44,33.81,16960470.0
85,2021-01-29,33.81,32.85,34.17,32.67,26370895.0
86,2021-02-01,32.85,33.61,33.61,32.81,14959050.0
87,2021-02-02,33.59,33.02,33.59,32.9,13983535.0
88,2021-02-03,32.98,31.54,33.02,31.5,21895372.0
89,2021-02-04,31.28,31.5,31.59,30.4,20588860.0
90,2021-02-05,31.11,31.6,32.09,31.11,13619955.0
91,2021-02-08,31.56,30.8,31.56,30.77,9365143.0
92,2021-02-09,30.8,31.1,31.17,30.51,10321298.0
93,2021-02-10,31.25,31.88,32.32,31.05,14092022.0
94,2021-02-18,31.56,32.19,32.39,31.56,14845638.0
95,2021-02-19,32.01,32.75,32.83,32.0,14466199.0
96,2021-02-22,32.76,32.6,33.16,32.41,21716066.0
97,2021-02-23,32.5,32.27,32.65,32.12,11758231.0
98,2021-02-24,32.09,32.3,32.48,32.09,9891783.0
99,2021-02-25,32.3,31.85,32.31,31.83,10526579.0
100,2021-02-26,31.0,31.2,31.41,30.9,13979257.0
101,2021-03-01,31.4,31.6,31.64,31.22,10684469.0
