date,open,high,low,close,volume,turnover,pre-close,changeamount,change
2020-07-22,102.0,163.7,101.0,132.35,18610079.0,0.7252420334001182,102.0,30.35,0.2975
2020-07-23,129.0,151.0,129.0,143.35,10294940.0,0.4011978250781317,132.35,11.0,0.0831
2020-07-24,136.99,147.57,121.0,126.99,8107492.0,0.3159521237849227,143.35,-16.35,-0.1141
2020-07-27,126.99,129.9,115.68,129.79,6998298.0,0.2727264012076456,127.0,2.8,0.022
2020-07-28,127.98,133.48,120.08,123.97,5498300.0,0.2142708944031817,129.8,-5.81,-0.0448
2020-07-29,120.86,129.72,117.78,128.08,5279515.0,0.2057447576641896,123.99,4.11,0.0331
2020-07-30,127.98,153.69,121.86,153.69,9231541.0,0.3597567515031269,128.1,25.62,0.2
2020-07-31,150.47,156.46,145.97,155.96,6847060.0,0.2668325973905115,153.72,2.28,0.0148
2020-08-03,156.85,163.46,148.55,154.97,6540933.0,0.2549027088629734,156.0,-1.0,-0.0064
2020-08-04,154.3,155.97,139.55,141.55,5390475.0,0.2100689121197444,155.0,-13.43,-0.0866
2020-08-05,149.58,164.98,141.98,152.66,7576988.0,0.2952781760984623,141.57,11.11,0.0785
2020-08-06,146.98,151.97,143.98,146.78,4104167.0,0.1599409879180879,152.68,-5.88,-0.0385
2020-08-07,144.99,150.99,137.76,138.49,4335290.0,0.1689479413268046,146.8,-8.3,-0.0565
2020-08-10,135.49,137.59,127.04,133.17,3270617.0,0.1274572194751561,138.5,-5.32,-0.0384
2020-08-11,133.54,138.59,130.89,133.33,2769934.0,0.1079454077838209,133.18,0.16,0.0012
2020-08-12,133.89,139.67,132.99,137.56,2909975.0,0.1134028601460267,133.34,4.23,0.0317
2020-08-13,135.69,142.89,134.49,136.58,2711292.0,0.1056601061834005,137.57,-0.98,-0.0071
2020-08-14,138.74,138.74,130.0,135.99,1532555.0,0.0597242657861644,136.59,-0.59,-0.0043
2020-08-17,135.99,138.48,131.49,135.79,1814820.0,0.0707242428715752,136.0,-0.2,-0.0015
2020-08-18,133.09,136.97,129.0,130.55,2703320.0,0.1053494342356745,135.8,-5.24,-0.0386
2020-08-19,129.69,129.75,119.95,119.95,2409147.0,0.0938853977481661,130.56,-10.6,-0.0812
2020-08-20,117.86,122.79,116.65,119.59,1421819.0,0.0554088406979316,119.96,-0.36,-0.003
