,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sz002435-1,-1015.57,-20.31,130,-0.16,sz002435,
1,sz002435-2,6177.16,137.06,189,0.73,sz002435,
2,sz002353-3,5935.86,119.04,466,0.26,sz002353,
3,sz002353-4,-1586.64,-20.0,39,-0.51,sz002353,
4,sz000544-5,-1010.76,-20.02,77,-0.26,sz000544,
5,sz000544-6,1420.02,28.71,87,0.33,sz000544,
6,sz000544-7,-995.31,-19.29,202,-0.1,sz000544,
7,sz000550-8,4732.0,94.64,406,0.23,sz000550,
8,sz000550-9,-1211.91,-16.31,29,-0.56,sz000550,
9,sz001896-10,-1312.82,-24.49,105,-0.23,sz001896,
10,sz001896-11,-536.38,-12.67,18,-0.7,sz001896,
11,sz001896-12,2562.75,62.82,395,0.16,sz001896,
12,sz002347-13,10159.39,204.27,297,0.69,sz002347,
13,sh600418-14,-1065.7,-21.26,31,-0.69,sh600418,
14,sz002421-16,2014.59,40.17,208,0.19,sz002421,
15,sz002421-17,5623.61,94.53,239,0.4,sz002421,
16,sz002421-18,-2415.61,-27.29,44,-0.62,sz002421,
17,sh603111-19,-1529.59,-30.74,46,-0.67,sh603111,
18,sz002409-20,2139.18,42.25,334,0.13,sz002409,
19,sh600356-22,4174.45,83.49,208,0.4,sh600356,
20,sz000587-23,-1716.58,-33.56,42,-0.8,sz000587,
21,sz000587-24,807.5,17.72,41,0.43,sz000587,
22,sz002390-25,-1522.22,-29.74,102,-0.29,sz002390,
23,sz002390-26,10898.45,257.11,371,0.69,sz002390,
24,sz002384-27,2600.35,52.08,377,0.14,sz002384,
25,sz002384-28,1785.08,28.33,57,0.5,sz002384,
26,sz000593-30,3156.09,63.29,146,0.43,sz000593,
27,sh600395-31,-1513.44,-29.78,145,-0.21,sh600395,
28,sh600395-32,-1459.69,-33.54,142,-0.24,sh600395,
29,sh603688-33,-1092.25,-22.32,20,-1.12,sh603688,
30,sh600381-35,-1423.89,-28.76,431,-0.07,sh600381,
31,sh600381-36,-1459.64,-33.53,21,-1.6,sh600381,
32,sh600168-37,2241.28,45.04,387,0.12,sh600168,
33,sz002151-38,5787.1,109.3,505,0.22,sz002151,
34,sz002637-39,1919.81,38.89,340,0.11,sz002637,
35,sz002637-40,-1553.41,-26.39,102,-0.26,sz002637,
36,sz000020-41,7456.19,147.75,129,1.15,sz000020,
37,sz000020-42,-3670.27,-42.75,115,-0.37,sz000020,
38,sz000034-43,-612.46,-12.48,30,-0.42,sz000034,
39,sz000034-44,9476.84,208.86,250,0.84,sz000034,
40,sz000034-45,-3779.17,-40.04,163,-0.25,sz000034,
41,sz002623-46,-1027.52,-20.56,60,-0.34,sz002623,
42,sz002623-47,514.24,11.46,195,0.06,sz002623,
43,sz002145-48,-653.24,-13.18,13,-1.01,sz002145,
44,sz002145-49,-1197.48,-25.49,19,-1.34,sz002145,
45,sz002145-50,3401.44,83.48,202,0.41,sz002145,
46,sz000752-51,805.92,14.65,105,0.14,sz000752,
47,sz000752-52,2303.44,42.63,180,0.24,sz000752,
48,sh600626-53,-1170.42,-23.35,103,-0.23,sh600626,
49,sh600626-54,1452.8,33.89,38,0.89,sh600626,
50,sz000008-56,29609.35,590.77,551,1.07,sz000008,
51,sz002179-57,-1469.6,-29.52,137,-0.22,sz002179,
52,sz002179-58,4614.82,109.09,398,0.27,sz002179,
53,sz002179-59,-2283.61,-36.0,22,-1.64,sz002179,
54,sz002192-61,1054.85,21.34,250,0.09,sz002192,
55,sz002192-62,-1972.45,-34.98,230,-0.15,sz002192,
56,sz000785-64,-663.99,-13.8,31,-0.45,sz000785,
57,sz000785-65,6248.64,134.41,189,0.71,sz000785,
58,sh600815-66,-1683.4,-33.09,183,-0.18,sh600815,
59,sh600815-67,5480.89,132.07,199,0.66,sh600815,
60,sh600801-68,-1354.59,-27.03,210,-0.13,sh600801,
61,sh600801-69,-971.96,-22.51,29,-0.78,sh600801,
62,sh600801-70,633.93,16.64,160,0.1,sh600801,
63,sz000791-72,2476.52,45.05,192,0.23,sz000791,
