,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh600000-1,-141.94,-2.83,17,-0.17,sh600000,
1,sh600000-2,-350.85,-7.14,29,-0.25,sh600000,
2,sh600004-3,-41.02,-0.82,11,-0.07,sh600004,
3,sh600004-4,144.69,2.9,21,0.14,sh600004,
4,sh600004-5,-323.43,-6.39,8,-0.8,sh600004,
5,sh600004-6,300.87,6.2,16,0.39,sh600004,
6,sh600004-7,-72.85,-1.45,18,-0.08,sh600004,
7,sh600004-8,-696.64,-14.01,11,-1.27,sh600004,
8,sh600004-9,436.75,9.42,25,0.38,sh600004,
9,sh600004-10,196.82,4.05,43,0.09,sh600004,
10,sh600006-11,-826.67,-15.72,6,-2.62,sh600006,
11,sh600006-12,-758.93,-15.98,9,-1.78,sh600006,
12,sh600006-13,143.84,3.38,9,0.38,sh600006,
13,sh600006-14,-97.43,-2.38,16,-0.15,sh600006,
14,sh600006-15,1688.22,39.02,12,3.25,sh600006,
15,sh600007-16,-216.27,-4.34,15,-0.29,sh600007,
16,sh600007-17,-37.55,-0.77,17,-0.05,sh600007,
17,sh600007-18,-157.93,-3.25,11,-0.3,sh600007,
18,sh600007-19,-398.33,-8.29,28,-0.3,sh600007,
19,sh600007-20,3335.37,72.59,20,3.63,sh600007,
20,sh600007-21,296.16,4.6,9,0.51,sh600007,
21,sh600007-22,-177.94,-2.79,16,-0.17,sh600007,
22,sh600007-23,-490.6,-7.82,7,-1.12,sh600007,
23,sh600007-24,420.68,6.97,11,0.63,sh600007,
24,sh600007-25,-150.87,-2.41,9,-0.27,sh600007,
25,sh600008-26,-313.38,-6.23,36,-0.17,sh600008,
26,sh600009-28,-372.31,-7.59,9,-0.84,sh600009,
27,sh600009-29,15.35,0.32,16,0.02,sh600009,
28,sh600009-30,181.22,3.77,29,0.13,sh600009,
29,sh600009-31,89.43,1.82,17,0.11,sh600009,
30,sh600009-32,-392.74,-7.97,18,-0.44,sh600009,
31,sh600009-33,-140.35,-2.95,9,-0.33,sh600009,
32,sh600010-35,2503.5,50.67,15,3.38,sh600010,
33,sh600010-36,-308.55,-5.08,7,-0.73,sh600010,
34,sh600010-37,-526.77,-8.67,7,-1.24,sh600010,
35,sh600010-38,339.52,5.72,6,0.95,sh600010,
36,sh600011-39,253.26,5.0,24,0.21,sh600011,
37,sh600011-40,-83.0,-1.63,13,-0.13,sh600011,
38,sh600011-41,-281.14,-5.58,15,-0.37,sh600011,
39,sh600011-42,2950.48,59.82,21,2.85,sh600011,
40,sh600011-43,-83.77,-1.31,8,-0.16,sh600011,
41,sh600012-44,609.59,12.21,17,0.72,sh600012,
42,sh600015-45,-193.23,-3.86,122,-0.03,sh600015,
43,sh600015-46,-401.77,-8.21,19,-0.43,sh600015,
44,sh600016-48,-230.09,-4.61,11,-0.42,sh600016,
45,sh600016-49,-123.97,-2.54,37,-0.07,sh600016,
