,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
3685,2021-09-24,93.82,2021-12-10,77.57,88.6,11,0.0,-17.32,002320
3686,2013-02-22,14.18,2013-04-03,12.3,14.6,6,0.0,-13.26,002321
3687,2013-09-30,13.12,2014-02-07,11.68,14.82,18,6.93,-10.98,002321
3688,2014-08-15,14.52,2015-09-30,16.72,33.24,58,135.41,15.15,002321
3689,2015-11-27,21.6,2016-05-20,20.2,26.82,24,5.59,-6.48,002321
3690,2016-08-26,23.14,2017-01-20,19.28,22.52,20,2.93,-16.68,002321
3691,2017-04-28,20.7,2017-05-05,20.86,20.86,1,0.0,0.77,002321
3692,2017-06-23,22.24,2018-04-04,16.04,28.72,33,28.44,-27.88,002321
3693,2019-04-12,17.2,2019-08-30,13.06,17.2,20,3.12,-24.07,002321
3694,2013-03-29,41.44,2014-04-25,41.92,65.48,48,51.29,1.16,002322
3695,2014-09-19,53.8,2015-09-11,60.24,151.76,37,171.78,11.97,002322
3696,2015-11-20,100.8,2016-03-04,62.0,106.6,14,16.78,-38.49,002322
3697,2016-10-21,85.0,2017-11-24,83.88,100.8,56,18.76,-1.32,002322
3698,2019-04-12,72.48,2020-01-03,56.6,73.8,38,0.0,-21.91,002322
3699,2020-07-24,61.8,2021-01-08,52.68,75.64,24,9.37,-14.76,002322
3700,2013-03-15,20.04,2013-05-10,19.87,20.33,8,0.0,-0.85,002323
3701,2013-05-24,21.14,2013-06-21,18.22,20.32,4,0.0,-13.81,002323
3702,2013-10-11,19.67,2017-05-19,42.25,86.32,168,332.25,114.79,002323
3703,2020-09-30,16.8,2021-02-05,12.98,17.15,18,0.23,-22.74,002323
3704,2012-12-28,24.26,2014-03-21,30.0,37.9,63,50.52,23.66,002324
3705,2014-09-05,36.6,2015-09-30,39.62,88.36,42,143.42,8.25,002324
3706,2015-12-11,58.5,2016-02-26,49.9,68.92,10,7.19,-14.7,002324
3707,2016-07-15,61.96,2017-05-05,56.46,67.3,41,8.72,-8.88,002324
3708,2019-04-30,37.94,2021-07-09,86.57,132.16,113,233.57,128.18,002324
3709,2013-03-08,11.2,2013-08-09,9.43,12.01,22,8.1,-15.8,002328
3710,2013-09-18,12.86,2014-12-26,12.88,18.82,53,44.66,0.16,002328
3711,2015-04-10,21.49,2015-09-02,12.1,30.93,21,59.6,-43.69,002328
3712,2015-12-18,19.36,2016-02-05,13.41,21.37,7,5.06,-30.73,002328
3713,2016-08-26,16.88,2017-04-28,13.88,18.38,34,9.67,-17.77,002328
3714,2019-01-11,9.89,2019-01-25,9.68,10.0,2,0.0,-2.12,002328
3715,2019-03-01,11.51,2019-09-27,10.73,14.45,30,22.15,-6.78,002328
3716,2019-11-01,12.49,2019-11-15,10.45,11.06,2,0.0,-16.33,002328
3717,2020-02-14,16.79,2021-01-22,13.86,22.2,49,0.0,-17.45,002328
3718,2013-04-12,21.38,2016-04-22,81.91,161.26,130,644.51,283.12,002329
3719,2016-10-14,94.0,2016-11-11,90.31,96.41,4,0.0,-3.93,002329
3720,2019-04-30,26.36,2019-11-22,22.04,29.44,29,14.37,-16.39,002329
3721,2020-01-17,27.98,2020-12-04,28.2,41.87,45,50.56,0.79,002329
3722,2021-06-18,32.52,2021-08-13,28.32,31.0,8,0.0,-12.92,002329
3723,2013-02-22,30.97,2015-10-09,79.21,223.86,118,606.18,155.76,002331
3724,2015-11-13,97.88,2016-02-19,76.24,117.65,13,14.45,-22.11,002331
3725,2016-12-16,83.19,2017-09-29,69.85,93.43,21,7.07,-16.04,002331
3726,2019-01-18,47.9,2019-12-06,50.65,68.07,45,46.61,5.74,002331
3727,2020-03-13,59.26,2020-04-03,48.77,60.53,3,0.0,-17.7,002331
3728,2020-06-12,57.99,2021-06-11,60.58,87.72,52,37.19,4.47,002331
3729,2012-08-10,14.27,2012-09-14,12.69,13.12,5,0.0,-11.07,002332
3730,2013-03-29,13.29,2014-05-23,13.07,16.4,60,32.36,-1.66,002332
3731,2014-08-15,16.76,2015-09-18,16.93,42.26,54,148.15,1.01,002332
3732,2015-12-18,23.66,2016-01-08,18.95,24.77,3,0.0,-19.91,002332
3733,2016-09-02,19.81,2017-06-09,19.61,22.43,39,13.17,-1.01,002332
3734,2017-10-20,21.79,2018-01-19,19.39,23.55,13,2.17,-11.01,002332
