,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
1789,2015-12-04,70.42,2016-03-11,56.3,85.5,13,24.02,-20.05,002444
1790,2016-05-20,82.06,2016-07-22,78.82,87.74,9,5.33,-3.95,002444
1791,2020-01-17,48.62,2020-04-30,43.5,56.18,14,10.03,-10.53,002444
1792,2021-12-10,139.66,2022-01-07,121.78,131.86,4,0.0,-12.8,002444
1793,2012-03-02,30.01,2012-06-08,23.02,31.83,14,0.0,-23.29,002445
1794,2015-12-11,58.85,2016-02-19,48.4,72.9,9,8.81,-17.76,002448
1795,2016-05-13,58.55,2016-08-05,67.4,78.35,12,15.22,15.12,002448
1796,2015-12-25,35.56,2016-01-29,22.2,35.0,5,0.0,-37.57,002449
1797,2020-01-10,38.66,2020-04-30,30.45,44.2,15,6.92,-21.24,002449
1798,2014-08-22,135.2,2016-09-14,266.45,307.23,98,127.73,97.08,002450
1799,2013-09-13,13.14,2015-09-30,25.8,81.93,94,452.83,96.35,002451
1800,2015-11-27,39.09,2016-02-05,32.07,43.74,10,15.17,-17.96,002451
1801,2013-10-11,22.24,2013-11-01,19.02,20.86,3,0.0,-14.48,002453
1802,2014-01-17,23.06,2015-09-01,24.04,68.32,80,184.9,4.25,002453
1803,2015-12-31,45.88,2016-04-08,42.72,42.72,10,12.18,-6.89,002453
1804,2016-04-15,44.08,2016-06-17,34.33,42.08,9,2.04,-22.12,002453
1805,2020-02-07,15.85,2020-04-30,13.79,17.5,12,8.36,-13.0,002454
1806,2013-10-18,15.93,2016-03-11,40.4,80.58,116,423.93,153.61,002455
1807,2016-07-22,55.57,2016-08-12,50.44,51.96,3,0.0,-9.23,002455
1808,2017-09-01,65.94,2017-12-01,54.12,78.69,12,18.08,-17.93,002455
1809,2015-12-31,250.28,2016-01-29,177.8,209.32,4,0.0,-28.96,002456
1810,2016-07-01,236.68,2016-08-05,262.04,267.8,5,13.11,10.71,002456
1811,2012-03-09,43.41,2012-08-31,30.36,45.54,25,0.0,-30.06,002458
1812,2014-05-23,27.44,2014-06-27,23.91,24.48,5,0.0,-12.86,002458
1813,2015-12-04,26.06,2016-02-26,19.37,26.47,11,0.0,-25.67,002459
1814,2015-04-10,16.77,2015-09-11,12.21,26.51,16,55.67,-27.19,002461
1815,2020-05-08,15.32,2021-08-13,20.05,26.58,66,53.82,30.87,002461
1816,2015-12-31,16.49,2016-01-15,11.79,13.8,2,0.0,-28.5,002463
1817,2018-08-31,16.39,2020-09-11,46.58,70.82,103,331.57,184.2,002463
1818,2014-02-28,70.86,2016-12-23,190.66,284.05,126,282.04,169.07,002466
1819,2017-04-14,280.61,2018-06-29,318.79,439.64,59,60.39,13.61,002466
1820,2020-01-03,241.44,2020-04-03,148.82,287.72,12,14.91,-38.36,002466
1821,2020-07-24,188.61,2020-09-25,150.78,195.77,9,1.28,-20.06,002466
1822,2013-02-01,31.8,2014-04-30,43.34,59.96,64,89.99,36.29,002467
1823,2014-06-27,47.08,2015-09-30,68.15,181.32,62,262.93,44.75,002467
1824,2015-11-20,98.93,2016-03-11,70.43,128.87,15,34.09,-28.81,002467
1825,2013-10-18,66.74,2013-12-27,57.91,64.49,10,3.88,-13.23,002469
1826,2020-04-03,38.4,2020-06-12,38.48,43.85,9,20.5,0.21,002469
1827,2013-09-06,17.6,2016-01-22,34.32,58.66,121,245.06,95.0,002470
1828,2013-03-29,17.95,2014-05-23,20.31,27.12,60,55.06,13.15,002471
1829,2014-07-18,23.35,2016-03-11,42.38,115.47,72,393.88,81.5,002471
1830,2014-02-07,20.03,2015-10-23,52.11,101.65,89,317.8,160.16,002472
1831,2015-11-13,60.72,2016-03-04,43.64,71.7,15,0.0,-28.13,002472
1832,2016-11-18,59.46,2017-01-26,54.76,59.58,10,0.0,-7.9,002473
1833,2019-03-22,65.94,2019-06-21,54.9,69.3,13,13.01,-16.74,002474
1834,2012-07-13,64.84,2012-11-09,60.43,69.61,16,9.81,-6.8,002475
1835,2019-03-15,438.05,2021-03-26,1149.49,2016.67,105,322.15,162.41,002475
1836,2012-09-07,32.79,2014-12-31,40.82,52.91,113,69.42,24.49,002476
1837,2015-06-12,87.89,2015-09-11,39.95,78.36,13,0.0,-54.55,002476
1838,2012-03-23,66.05,2013-04-12,59.79,91.51,53,46.3,-9.48,002477
1839,2014-08-15,77.22,2014-11-14,71.4,78.63,8,0.0,-7.54,002477
