,id,low,middle,high
0,000001,1.0436009152744161,2.9378531073446306,6.840480274442528
1,000002,1.102033772380121,3.29877474081057,6.722779922779921
2,000004,1.4332763828944204,3.8183423989233445,7.792204215393785
3,000005,1.1013310433662444,3.0220008302200076,7.807066006198908
4,000006,1.2613522455778083,3.4010479191676635,7.628578807556074
5,000007,1.4640463266697068,3.841059602649007,8.311955307262565
6,000008,1.1722621521022518,3.1290322580645125,7.558823529411764
7,000009,1.369113430654206,3.77820614095344,8.431461646651531
8,000010,1.398124299561548,3.988603988603993,8.542731346803992
9,000011,1.1904761904761934,3.8327526132404137,8.165137614678887
10,000012,1.517101878896196,3.5466966123900443,8.108714408973245
11,000014,1.1332175402698053,3.741935483870957,8.519954600400483
12,000016,1.3333333333333344,3.1857148348902466,7.031250000000012
13,000017,1.4084507042253551,3.587443946188344,9.12788906009245
14,000019,1.2515723270440313,3.582622364964406,7.770340332447179
15,000020,1.2269938650306762,3.598390956031987,8.256880733944941
16,000021,1.081919128430758,3.205797193674634,7.155844155844147
17,000023,1.1688773298656272,3.4724637681159365,7.503642828000233
18,000025,1.2064343163538855,3.612630798385105,8.63579474342928
19,000026,1.2349390355673382,3.2256773581549734,6.833109974538047
20,000027,0.9900990099009961,2.4561283869794486,5.410728511994344
21,000028,1.2298204395315673,3.1668933359238443,7.029967720834186
22,000029,1.4045446664136008,3.864734299516912,7.6313678565888905
23,000030,1.387733086762208,3.5845777495902373,8.39782951809311
24,000031,1.3228070175438493,3.6727301704590776,8.0762915245674
25,000032,1.315789473684219,3.4781472397571487,7.012288786482325
26,000034,1.3630856840642296,4.082248237964395,9.946628713752002
27,000035,1.4632147838214695,3.6806656454543503,8.109204539224821
28,000036,1.1921539379474921,3.3707865168539275,7.5065490996537525
29,000037,1.1100769316685684,3.3864575427944974,8.497185755534172
30,000038,1.1463940315004133,4.014122649046075,9.163295201858668
31,000039,1.131873331305542,3.2520325203252063,6.82511676180591
32,000040,1.0229132997557555,2.9297620095665735,7.03440559440561
33,000042,1.1611030478955018,3.137254901960787,7.090103397341219
34,000045,1.3542808651177773,3.4814814814814863,8.021428571428563
35,000046,1.0961581320395681,3.311258278145683,7.638983332937065
36,000048,1.251518113688208,3.4071945786716613,7.79978813559322
37,000049,1.2859364045292365,3.793750067380363,7.47101433543203
38,000050,1.412645553777661,3.8145823273780737,8.433480919249416
39,000055,1.1969401388051313,3.1128404669260727,7.748776335390511
40,000056,1.4456912467040817,3.7338458695786167,8.934621772610594
41,000058,1.4154945726953045,3.7516756032171643,8.103255706562178
42,000059,1.2653963575113132,3.547963206307484,7.410462008400147
43,000060,1.2839915093499454,3.518518518518509,7.738970588235294
44,000061,0.9860380492821181,3.12500000000001,6.809362713427203
45,000062,1.156069364161842,3.412211533829038,7.256637168141579
46,000063,1.1076094232818618,3.187250996015927,6.791082112316927
47,000065,1.0927025474047196,3.4735801955481653,7.713925418843444
48,000066,1.4158138167611467,3.598484848484839,7.547824728230534
49,000068,1.3777904436211708,3.675675675675674,7.91082753187037
50,000069,1.1865524060645993,3.2765399737876804,7.084019769357491
51,000070,1.4293145086382997,3.325411517486373,7.469696969696972
52,000078,1.0760753099648017,2.9927827557559903,7.202056581122447
53,000088,1.1867167366173323,2.569169960474324,6.345479646906249
54,000089,0.9104704097116919,2.38492063492063,5.063291139240494
55,000090,1.269583649061011,3.4526963103122084,7.232142857142868
56,000096,1.0702230722380652,3.05387664911938,6.477060949325052
57,000099,1.0925351914763461,2.900107411385602,6.858548539985676
58,000100,1.3118775000286482,3.095064318949009,6.8105583756345185
59,000150,1.2326443552892346,3.7381402814802103,8.540738928309272
60,000151,1.1353711790393082,3.235908141962427,7.434944237918216
61,000153,1.28878418374431,3.0249110320284682,6.216442953020137
62,000155,1.4334191330370385,3.867403314917118,8.184488363858764
63,000156,1.0133786147988075,2.886597938144342,5.9681323003667
64,000157,1.0071942446043078,3.201267578987197,7.147628590514351
65,000158,1.3325504324200603,3.4705122126546626,7.856958855098395
66,000159,1.454326502525104,3.6405005688282173,8.663292674394192
67,000166,0.7900799123752362,2.1028037383177534,4.515052503317837
68,000301,1.0274449707439535,2.8811566131710005,6.587295825771322
69,000333,0.9935897435897508,2.968120190545996,5.8837209302325615
70,000338,1.3256484149855725,3.3775633293124385,6.871609403254976
71,000400,1.2464046021093076,3.4228187919463076,7.796610169491528
72,000401,1.2554403818254398,3.494623655913984,7.383777042565112
73,000402,0.9828009828009764,2.6923005439429013,6.088992974238892
74,000403,1.0197825409935881,3.102111734830266,6.603781013474526
75,000404,1.3280216387851775,3.59355638166046,7.279069608064868
76,000407,1.2837002226069798,3.3980582524271767,6.843375184120087
77,000408,1.2010443864229787,3.6428400383141817,7.547169811320761
78,000409,1.4749348015068187,4.1362530413625285,8.563787950291028
79,000410,1.4148274665741472,3.838771593090214,8.01167883211679
80,000411,1.413881748071972,3.7438423645320094,7.750117426021616
81,000413,1.3140694874441017,3.4717586411511645,7.287608309844448
82,000415,1.126881788984612,3.3347697354703323,7.505053522183399
83,000416,1.2905558306518363,3.8637519064565224,8.401233222260288
84,000417,1.0000000000000009,2.639510418859786,6.273408239700375
85,000419,1.2083531588686147,3.0249110320284682,6.60236000558582
86,000420,1.4354066985646052,3.2927971218057683,6.630824372759858
87,000421,1.1086488150200062,3.023644787965675,5.747837327234758
88,000422,1.2121212121212042,3.0927835051546384,7.14285714285714
89,000423,1.2583745478703738,2.992454653952495,5.665140508970889
90,000425,1.0524470685917178,3.2786885245901667,7.5540757183376455
