,dt,Open,Close,High,Low,Vol
0,2015-07-14,20.0,20.0,20.0,19.88,59880.0
1,2015-07-15,20.1,20.1,20.1,20.1,20100.0
2,2015-07-16,20.1,20.1,20.1,20.1,20100.0
3,2015-07-17,20.1,20.1,20.1,20.1,20100.0
4,2015-07-21,20.1,19.5,20.1,19.5,79200.0
5,2015-07-23,20.0,20.2,20.2,20.0,160800.0
6,2015-07-24,19.8,19.3,19.8,19.3,116800.0
7,2015-07-27,19.3,19.42,19.42,19.3,96720.0
8,2015-07-30,19.42,19.47,19.47,19.42,38890.0
9,2015-08-07,19.5,19.6,19.6,19.5,78200.0
10,2015-08-10,19.5,19.5,19.5,19.5,39000.0
11,2015-08-28,19.5,19.5,19.5,19.5,19500.0
12,2015-09-08,19.0,18.53,19.0,18.53,37530.0
13,2015-09-09,18.53,18.7,18.7,18.53,55860.0
14,2015-09-10,18.94,18.94,18.94,18.94,37880.0
15,2015-09-14,18.94,18.94,18.94,18.94,18940.0
16,2015-09-22,18.8,18.8,18.8,18.8,18800.0
17,2015-09-30,13.36,13.47,13.47,13.36,40190.0
18,2015-10-12,13.68,13.68,13.68,13.68,13680.0
19,2015-10-26,13.68,13.68,13.68,13.68,82080.0
20,2015-10-29,13.68,13.68,13.68,13.68,68400.0
21,2015-10-30,13.68,13.68,13.68,13.68,13680.0
22,2015-11-02,13.68,13.68,13.68,13.68,68400.0
23,2015-11-03,13.8,13.84,13.9,13.8,222020.0
24,2015-11-04,13.83,13.84,13.84,13.83,69190.0
25,2015-11-06,13.45,13.45,13.45,13.45,67250.0
26,2015-11-09,13.45,13.45,13.6,12.1,6359500.0
27,2015-11-10,13.65,13.4,13.7,13.4,163350.0
28,2015-11-11,13.69,13.4,13.69,13.4,175070.0
29,2015-11-12,13.4,13.4,13.4,13.4,294800.0
30,2015-11-13,13.5,13.5,13.5,13.5,270000.0
31,2015-11-16,13.14,13.4,13.5,13.14,387360.0
32,2015-11-17,13.5,13.65,13.65,13.5,312720.0
33,2015-11-18,13.69,13.41,16.27,13.4,558990.0
34,2015-11-19,13.8,13.5,13.8,13.5,380400.0
35,2015-11-20,13.87,13.8,13.87,13.8,27670.0
36,2015-11-23,13.88,14.1,14.1,13.85,460160.0
37,2015-11-24,13.61,13.36,14.07,13.36,472110.0
38,2015-11-25,13.6,13.72,13.72,13.38,243270.0
39,2015-11-26,13.79,13.76,13.8,12.12,2575690.0
40,2015-11-27,13.41,13.79,13.79,13.41,54760.0
41,2015-11-30,13.85,13.85,13.85,13.85,41550.0
42,2015-12-01,13.85,14.08,14.08,13.85,196690.0
43,2015-12-07,14.25,14.6,14.6,14.25,273600.0
44,2015-12-08,14.68,14.15,14.79,14.15,235380.0
45,2015-12-09,14.8,14.9,14.9,14.8,148660.0
46,2015-12-10,14.9,14.9,14.9,14.9,14900.0
47,2015-12-14,14.9,14.26,14.9,14.25,115820.0
48,2015-12-16,14.8,14.8,14.8,14.8,14800.0
49,2015-12-17,14.5,14.99,14.99,14.5,1464990.0
50,2015-12-21,15.0,15.08,15.08,15.0,75100.0
51,2015-12-22,15.19,15.3,15.3,15.19,121880.0
52,2015-12-23,15.3,15.7,15.7,15.3,217170.0
53,2015-12-25,15.5,15.5,15.5,15.5,15500.0
54,2015-12-28,15.88,15.9,15.9,15.88,111250.0
55,2015-12-29,15.3,15.3,15.3,15.3,15300.0
56,2015-12-30,15.2,15.08,15.47,14.79,136140.0
57,2015-12-31,15.55,15.0,15.55,14.79,60890.0
58,2016-01-04,15.74,15.75,15.75,15.74,62990.0
59,2016-01-05,15.75,15.75,15.75,15.75,31500.0
60,2016-01-06,15.12,15.2,15.2,15.11,60630.0
61,2016-01-08,15.34,15.39,15.4,15.34,92180.0
62,2016-01-11,14.75,15.15,15.15,14.72,217362.0
63,2016-01-13,14.52,14.51,14.52,14.45,43480.0
64,2016-01-19,15.15,15.15,15.15,15.15,60600.0
65,2016-01-26,15.28,14.55,15.28,14.52,85076.0
66,2016-01-27,14.52,14.52,14.52,14.52,29040.0
67,2016-01-29,14.68,14.68,14.68,14.68,132120.0
68,2016-02-03,14.51,14.51,14.51,14.51,43530.0
69,2016-02-05,14.43,15.0,15.0,14.3,117630.0
70,2016-02-17,14.31,14.31,14.31,14.31,57240.0
71,2016-02-18,14.5,14.57,14.57,14.5,145610.0
72,2016-02-24,14.07,13.98,14.07,13.98,56110.0
73,2016-02-25,13.95,13.95,13.95,13.95,13950.0
74,2016-02-26,14.58,14.58,14.58,14.58,14580.0
75,2016-03-15,13.88,13.88,13.88,13.88,13880.0
76,2016-03-16,13.83,13.83,13.83,13.83,13830.0
77,2016-03-18,13.82,13.78,13.82,13.78,41380.0
78,2016-03-25,13.78,14.49,14.49,13.78,56400.0
79,2016-03-28,14.49,14.52,14.52,14.49,87020.0
80,2016-04-05,14.52,14.52,14.52,14.52,14520.0
81,2016-04-06,14.52,14.54,14.54,14.52,159890.0
82,2016-04-11,14.53,14.53,14.53,14.53,29060.0
83,2016-04-13,14.53,14.6,14.6,14.53,43720.0
84,2016-04-20,14.59,14.86,14.86,14.59,44050.0
85,2016-04-22,14.15,14.14,14.15,14.14,28290.0
86,2016-04-25,14.14,14.14,14.14,14.14,28280.0
87,2016-04-26,14.14,14.14,14.14,14.14,14140.0
88,2016-04-28,14.14,14.14,14.14,14.14,14140.0
89,2016-04-29,14.14,14.14,14.14,14.14,14140.0
90,2016-05-13,14.79,14.79,14.79,14.79,488070.0
91,2016-05-25,14.59,14.79,14.79,14.59,177130.0
92,2016-05-30,14.09,14.09,14.09,14.09,14090.0
93,2016-05-31,14.09,14.4,14.4,14.09,42890.0
94,2016-06-03,13.9,13.9,13.9,13.9,13900.0
95,2016-06-13,14.22,14.22,14.22,14.22,14220.0
96,2016-06-14,14.22,14.22,14.22,14.22,14220.0
97,2016-06-17,14.22,14.23,14.24,14.22,142300.0
98,2016-06-21,13.8,13.8,13.8,13.8,27600.0
99,2016-06-22,13.8,13.8,13.8,13.8,13800.0
100,2016-06-24,13.78,13.78,13.78,13.78,13780.0
101,2016-06-27,14.05,14.18,14.18,14.05,28230.0
102,2016-06-28,14.18,14.18,14.18,14.18,14180.0
103,2016-06-29,14.18,14.18,14.18,14.18,14180.0
104,2016-06-30,14.25,14.25,14.25,14.25,14250.0
105,2016-07-01,14.25,14.25,14.25,14.25,14250.0
106,2016-07-04,14.29,14.29,14.29,14.29,14290.0
107,2016-07-06,14.28,14.28,14.28,14.28,14280.0
108,2016-07-07,14.28,14.28,14.28,14.28,14280.0
109,2016-07-08,14.28,14.28,14.28,14.28,14280.0
110,2016-07-11,14.29,14.55,14.55,14.29,86340.0
111,2016-07-12,14.64,14.64,14.64,14.64,14640.0
112,2016-07-15,14.33,14.4,14.65,14.33,43380.0
113,2016-08-01,13.87,13.89,13.89,13.8,124600.0
114,2016-08-02,13.9,14.1,14.1,13.9,55800.0
115,2016-08-17,14.1,14.1,14.1,14.1,14100.0
116,2016-08-18,14.15,14.2,14.2,14.15,85140.0
117,2016-08-19,14.3,14.3,14.3,14.3,14300.0
118,2016-08-22,14.3,14.36,14.36,14.3,42970.0
119,2016-08-23,14.4,14.4,14.4,14.4,14400.0
120,2016-08-24,14.4,14.4,14.4,14.4,14400.0
121,2016-08-30,13.69,13.49,13.9,13.49,285830.0
122,2016-08-31,13.75,13.05,13.75,13.05,79290.0
123,2016-09-01,13.4,13.4,13.4,13.4,13400.0
124,2016-09-07,13.4,13.13,13.41,13.13,39940.0
125,2016-09-09,13.4,12.73,13.4,12.73,77890.0
126,2016-09-12,12.92,13.0,13.0,12.87,259140.0
127,2016-09-13,13.15,12.73,13.15,12.73,247130.0
128,2016-09-14,13.0,12.73,13.0,12.73,64630.0
129,2016-09-19,12.98,13.0,13.07,12.98,91030.0
130,2016-09-20,13.0,13.0,13.0,13.0,13000.0
131,2016-09-21,13.0,13.0,13.0,13.0,13000.0
132,2016-09-22,13.08,13.1,13.1,13.08,78500.0
133,2016-09-27,13.2,13.11,13.2,13.11,26310.0
134,2016-09-28,13.15,13.15,13.15,13.15,13150.0
135,2016-09-29,13.16,13.16,13.16,13.16,13160.0
136,2016-10-10,13.2,13.2,13.2,13.2,13200.0
137,2016-10-12,13.25,12.88,13.25,12.59,89700.0
138,2016-10-13,12.61,12.55,12.61,12.25,209560.0
139,2016-10-14,12.28,12.0,12.28,11.9,215560.0
140,2016-10-17,12.2,12.5,12.5,12.2,86520.0
141,2016-10-18,12.5,12.5,12.5,12.5,25000.0
142,2016-10-20,12.63,12.63,12.63,12.63,12630.0
143,2016-10-21,12.7,12.7,12.7,12.7,25400.0
144,2016-10-24,12.84,12.84,12.84,12.84,12840.0
145,2016-10-26,12.85,12.85,12.85,12.85,12850.0
146,2016-10-27,12.85,12.85,12.85,12.85,64250.0
147,2016-10-28,12.9,12.94,12.94,12.9,90380.0
148,2016-10-31,13.1,13.0,13.26,13.0,105370.0
149,2016-11-01,13.26,13.26,13.26,13.0,66040.0
150,2016-11-02,12.97,12.3,13.35,12.3,191380.0
151,2016-11-03,12.5,12.5,12.5,12.5,50000.0
152,2016-11-04,12.7,12.8,12.8,12.7,50950.0
153,2016-11-07,12.9,11.89,12.9,11.22,307960.0
154,2016-11-08,11.89,11.9,11.9,11.89,47580.0
155,2016-11-11,11.94,11.94,11.94,11.94,23880.0
156,2016-11-17,12.0,12.0,12.0,12.0,24000.0
157,2016-11-18,12.1,12.1,12.1,12.1,24200.0
158,2016-11-22,12.2,12.2,12.2,12.2,36600.0
159,2016-11-23,12.2,12.4,12.4,11.98,171620.0
160,2016-11-24,12.13,12.3,12.43,12.13,36860.0
161,2016-11-25,12.03,12.03,12.03,12.03,12030.0
162,2016-11-29,12.26,11.95,12.27,11.95,60380.0
163,2016-12-05,11.69,11.59,11.69,11.59,34870.0
164,2016-12-06,11.5,11.5,11.5,11.5,11500.0
165,2016-12-07,11.23,11.23,11.23,11.23,168450.0
166,2016-12-08,11.45,11.5,11.8,11.45,174490.0
167,2016-12-09,11.73,11.73,11.73,11.73,11730.0
168,2016-12-12,11.75,11.55,11.85,11.55,105760.0
169,2016-12-13,11.78,11.95,11.95,11.78,47490.0
170,2016-12-15,11.95,11.98,11.98,11.95,47860.0
171,2016-12-16,12.2,12.2,12.2,12.2,12200.0
172,2016-12-19,12.2,12.2,12.2,11.94,36340.0
173,2016-12-20,12.3,12.3,12.3,12.3,24600.0
174,2016-12-21,12.03,12.03,12.03,12.03,12030.0
175,2016-12-23,12.25,12.27,12.27,12.25,36790.0
176,2016-12-26,12.0,12.31,12.31,12.0,24310.0
177,2016-12-27,12.04,12.35,12.35,12.04,49070.0
178,2016-12-28,12.45,11.93,12.45,11.93,36830.0
179,2016-12-29,11.88,12.0,12.0,11.88,35880.0
180,2016-12-30,11.85,12.08,12.08,11.75,83430.0
181,2017-01-03,11.82,11.82,11.82,11.82,11820.0
182,2017-01-04,11.56,12.0,12.0,11.5,46560.0
183,2017-01-05,11.75,11.5,12.03,11.5,232950.0
184,2017-01-06,11.73,11.5,11.78,11.4,195490.0
185,2017-01-10,11.36,11.6,11.7,11.36,93010.0
186,2017-01-11,11.4,11.6,11.6,11.4,206800.0
187,2017-01-12,11.6,11.5,11.6,11.5,46300.0
188,2017-01-13,11.73,11.5,11.73,11.5,81880.0
189,2017-01-16,11.52,11.5,11.52,11.3,114500.0
190,2017-01-17,11.73,11.73,11.73,11.73,11730.0
191,2017-01-18,11.48,11.35,11.75,11.35,34580.0
