,dt,Open,Close,High,Low,Vol
0,2021-08-05,69.0,68.6,75.0,67.67,680235360.0
1,2021-08-06,62.0,57.01,63.86,57.0,476303952.0
2,2021-08-09,53.55,55.79,57.28,53.33,264329309.0
3,2021-08-10,55.21,57.84,59.24,54.68,301581376.0
4,2021-08-11,56.78,54.36,56.79,54.2,258123618.0
5,2021-08-12,53.89,53.04,55.27,53.04,201283277.0
6,2021-08-13,52.2,50.77,52.83,50.37,202281436.0
7,2021-08-16,50.32,51.4,51.58,50.2,125236982.0
8,2021-08-17,51.6,50.93,53.55,50.9,162304241.0
9,2021-08-18,50.06,50.25,50.38,49.0,111816296.0
10,2021-08-19,50.0,50.77,51.85,49.88,109655277.0
11,2021-08-20,50.59,47.88,50.59,47.51,135678665.0
12,2021-08-23,48.09,49.32,49.82,47.59,97934530.0
13,2021-08-24,49.0,49.51,50.48,48.6,104264435.0
14,2021-08-25,49.4,49.72,50.49,49.12,87331506.0
15,2021-08-26,49.9,48.16,50.28,48.09,90319756.0
16,2021-08-27,47.7,47.02,48.0,46.7,81100959.0
17,2021-08-30,46.8,49.99,51.35,46.7,166100379.0
18,2021-08-31,49.3,47.56,49.36,47.23,113529646.0
19,2021-09-01,46.88,47.32,47.72,46.46,68282779.0
20,2021-09-02,47.0,49.06,49.9,46.93,117676339.0
21,2021-09-03,48.32,49.94,52.0,48.32,142340781.0
22,2021-09-06,49.3,50.33,51.38,48.81,113934362.0
23,2021-09-07,49.8,49.48,50.94,49.12,99902914.0
24,2021-09-08,49.68,48.3,49.85,48.05,92564480.0
25,2021-09-09,48.09,48.2,48.56,47.81,54549659.0
26,2021-09-10,48.43,48.58,49.14,48.05,67655116.0
27,2021-09-13,49.41,47.69,49.43,47.59,54766285.0
28,2021-09-14,47.01,47.31,48.08,47.0,44559270.0
29,2021-09-15,47.22,47.66,47.76,46.81,44404250.0
30,2021-09-16,47.84,46.08,48.5,46.08,62933394.0
31,2021-09-17,46.09,45.29,46.77,45.02,42996882.0
32,2021-09-22,44.66,44.96,45.42,44.21,23826216.0
33,2021-09-23,45.19,45.17,45.92,45.13,31496012.0
34,2021-09-24,45.38,44.2,45.57,44.2,35592560.0
35,2021-09-27,44.23,42.85,44.99,42.78,43144529.0
36,2021-09-28,42.5,42.84,43.24,42.5,22951524.0
37,2021-09-29,42.52,40.04,42.52,40.04,49637476.0
38,2021-09-30,40.57,40.61,40.89,40.07,22243687.0
39,2021-10-08,41.58,41.0,41.6,40.83,23963322.0
40,2021-10-11,41.0,41.35,41.86,40.8,21458634.0
41,2021-10-12,41.39,40.72,41.39,40.08,23901184.0
42,2021-10-13,40.38,44.08,44.44,40.38,96228032.0
43,2021-10-14,43.1,42.97,43.45,42.56,55411136.0
44,2021-10-15,42.81,43.2,43.87,42.64,42230965.0
45,2021-10-18,43.77,42.6,43.77,42.38,30797328.0
46,2021-10-19,42.75,42.15,43.38,42.11,32117613.0
47,2021-10-20,41.6,41.81,42.57,41.6,21163873.0
48,2021-10-21,41.4,42.98,44.18,40.78,72240704.0
49,2021-10-22,42.7,42.21,42.85,42.11,33769292.0
50,2021-10-25,42.03,41.57,42.18,41.03,28781979.0
51,2021-10-26,41.39,42.37,42.86,41.3,36973136.0
52,2021-10-27,42.39,40.7,43.16,40.61,40518217.0
53,2021-10-28,39.37,37.41,39.4,37.4,51987764.0
54,2021-10-29,37.68,37.92,38.08,37.35,19604098.0
55,2021-11-01,37.69,39.28,39.43,37.65,34217040.0
56,2021-11-02,39.28,39.13,40.55,38.9,45689343.0
57,2021-11-03,39.01,39.67,40.38,38.81,29921740.0
58,2021-11-04,39.8,40.31,40.55,39.51,30292398.0
59,2021-11-05,40.66,43.07,44.08,40.0,141935394.0
60,2021-11-08,42.07,42.49,43.06,42.05,63616840.0
61,2021-11-09,42.87,43.3,43.47,42.1,64083609.0
62,2021-11-10,42.89,44.14,44.3,42.87,74065659.0
63,2021-11-11,44.21,43.92,45.0,43.52,94582126.0
64,2021-11-12,43.6,45.36,47.49,43.49,132085396.0
65,2021-11-15,44.66,46.87,47.5,44.66,140788861.0
66,2021-11-16,47.12,44.66,49.0,44.66,137354012.0
67,2021-11-17,44.68,47.97,47.98,44.68,154188202.0
68,2021-11-18,47.72,45.44,47.72,45.17,109774252.0
69,2021-11-19,45.98,45.54,46.57,44.79,75652742.0
70,2021-11-22,45.38,46.71,47.32,45.38,93360266.0
71,2021-11-23,46.51,48.03,48.08,46.29,115793858.0
72,2021-11-24,48.06,48.6,48.8,46.85,148103963.0
73,2021-11-25,48.35,47.31,48.48,47.22,112634297.0
74,2021-11-26,47.3,47.85,49.32,46.83,116880378.0
75,2021-11-29,47.0,49.53,49.99,46.51,179741737.0
76,2021-11-30,49.29,46.7,49.49,46.61,159547268.0
77,2021-12-01,46.69,47.49,48.87,46.53,126022477.0
78,2021-12-02,47.57,45.06,47.76,45.06,101848622.0
79,2021-12-03,45.0,45.51,46.24,44.56,85110631.0
80,2021-12-06,45.5,42.21,45.53,41.98,88784015.0
81,2021-12-07,42.24,41.1,42.95,40.82,46137248.0
82,2021-12-08,41.27,41.58,41.88,41.1,35594071.0
83,2021-12-09,41.55,41.75,41.9,41.35,36786789.0
84,2021-12-10,41.5,42.14,42.35,41.18,39284445.0
85,2021-12-13,42.14,41.76,42.2,41.42,28315719.0
86,2021-12-14,41.94,41.75,41.94,41.45,4880723.0
