,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh688136-1,-268.48,-5.42,3,-1.81,sh688136,
1,sh688136-2,-132.36,-2.73,5,-0.55,sh688136,
2,sh688136-3,291.27,6.07,7,0.87,sh688136,
3,sh688136-4,-333.18,-6.79,4,-1.7,sh688136,
4,sh688136-5,-133.31,-2.84,6,-0.47,sh688136,
5,sh688136-6,504.19,10.73,11,0.98,sh688136,
6,sh688136-7,-323.85,-6.47,7,-0.92,sh688136,
7,sh688136-8,110.69,2.29,13,0.18,sh688136,
8,sh688136-9,-584.66,-12.27,7,-1.75,sh688136,
9,sh603105-10,16.46,0.32,5,0.06,sh603105,
10,sh603105-11,-316.16,-6.65,5,-1.33,sh603105,
11,sh603105-12,-953.58,-19.7,3,-6.57,sh603105,
12,sh603105-13,-100.29,-2.26,3,-0.75,sh603105,
13,sh603105-14,209.19,4.83,8,0.6,sh603105,
14,sh603105-15,50.24,1.12,2,0.56,sh603105,
15,sh603105-16,-280.6,-6.29,4,-1.57,sh603105,
16,sh603105-17,-146.76,-3.4,3,-1.13,sh603105,
17,sh603105-18,-57.87,-1.33,4,-0.33,sh603105,
18,sh603105-19,19.12,0.45,3,0.15,sh603105,
19,sh603105-20,418.83,9.88,6,1.65,sh603105,
20,sh603105-21,267.07,6.1,2,3.05,sh603105,
21,sh603105-22,96.61,2.14,11,0.19,sh603105,
22,sh603105-23,189.84,4.09,3,1.36,sh603105,
23,sh603105-24,-141.89,-3.0,2,-1.5,sh603105,
24,sh603105-25,-125.72,-2.72,3,-0.91,sh603105,
25,sh603105-26,-329.49,-7.07,2,-3.54,sh603105,
26,sh603105-27,171.5,3.89,10,0.39,sh603105,
27,sh603105-28,-69.05,-1.54,6,-0.26,sh603105,
28,sh603105-29,-139.34,-3.16,9,-0.35,sh603105,
29,sh603105-30,-327.66,-7.39,3,-2.46,sh603105,
30,sh603105-31,1024.64,24.4,5,4.88,sh603105,
31,sh603105-32,-399.07,-8.46,5,-1.69,sh603105,
32,sh603105-33,124.24,2.73,2,1.36,sh603105,
33,sh603105-34,-506.95,-10.89,3,-3.63,sh603105,
34,sz002435-35,522.49,10.44,32,0.33,sz002435,
35,sz002435-36,242.32,4.66,2,2.33,sz002435,
36,sz002435-37,149.97,2.8,35,0.08,sz002435,
37,sz002435-38,-519.57,-9.44,6,-1.57,sz002435,
38,sz002435-39,463.53,9.0,2,4.5,sz002435,
39,sz002435-40,-159.69,-2.98,4,-0.74,sz002435,
40,sz002435-41,-18.0,-0.33,4,-0.08,sz002435,
41,sz002435-42,-345.94,-6.48,7,-0.93,sz002435,
42,sz002435-43,-10.42,-0.2,35,-0.01,sz002435,
43,sz002435-44,-168.44,-3.35,6,-0.56,sz002435,
44,sz002435-45,130.74,2.59,13,0.2,sz002435,
45,sz002435-46,1312.12,24.04,5,4.81,sz002435,
46,sz002435-47,373.97,6.5,13,0.5,sz002435,
47,sz002435-48,11.66,0.19,2,0.1,sz002435,
48,sz002435-49,128.93,2.16,2,1.08,sz002435,
49,sz002435-50,-518.09,-8.27,4,-2.07,sz002435,
50,sz002435-51,-290.67,-4.97,2,-2.48,sz002435,
51,sz002435-52,115.89,2.05,3,0.68,sz002435,
52,sz002435-53,20.63,0.36,3,0.12,sz002435,
53,sz002435-54,-123.82,-2.16,2,-1.08,sz002435,
54,sz002435-55,-397.11,-7.0,9,-0.78,sz002435,
55,sz002435-56,-132.99,-2.45,2,-1.23,sz002435,
56,sz002435-57,868.74,16.2,6,2.7,sz002435,
57,sz002435-58,-279.95,-4.8,2,-2.4,sz002435,
58,sz002435-59,127.82,2.23,14,0.16,sz002435,
