,id,box_p,box_os,profit_percent_per_year,max_loss_percent,max_drawdown_len,avg_drawdown_len
110,65-30,65,30,22.5,-25.18,5,1.57
111,65-40,65,40,17.5,-34.51,9,1.89
112,65-50,65,50,7.5,-34.51,9,2.33
113,65-60,65,60,10.0,-34.51,10,2.73
114,65-70,65,70,2.5,-34.75,8,2.75
115,65-80,65,80,5.0,-34.75,10,2.81
116,65-90,65,90,7.5,-34.75,10,2.9
117,70-10,70,10,-27.5,-6.5,0,0.0
118,70-20,70,20,30.0,-21.9,3,1.15
119,70-30,70,30,25.0,-25.18,4,1.58
120,70-40,70,40,17.5,-25.79,7,1.86
121,70-50,70,50,10.0,-28.23,8,2.19
122,70-60,70,60,12.5,-30.66,8,2.64
123,70-70,70,70,5.0,-32.08,7,2.56
124,70-80,70,80,7.5,-32.08,9,2.69
125,70-90,70,90,7.5,-33.68,9,2.78
126,75-10,75,10,0.0,0.0,0,0.0
127,75-20,75,20,27.5,-26.44,3,1.22
128,75-30,75,30,20.0,-26.44,4,1.3
129,75-40,75,40,20.0,-26.44,7,1.76
130,75-50,75,50,12.5,-28.23,7,2.22
131,75-60,75,60,15.0,-30.46,8,2.62
132,75-70,75,70,5.0,-32.08,6,2.41
133,75-80,75,80,10.0,-32.08,7,2.57
134,75-90,75,90,7.5,-32.08,7,2.66
135,80-10,80,10,0.0,0.0,0,0.0
136,80-20,80,20,37.5,-26.44,2,1.14
137,80-30,80,30,15.0,-26.44,4,1.3
138,80-40,80,40,17.5,-26.44,7,1.67
139,80-50,80,50,15.0,-33.05,7,2.1
140,80-60,80,60,20.0,-30.46,8,2.47
141,80-70,80,70,5.0,-33.05,7,2.27
142,80-80,80,80,10.0,-32.08,6,2.24
143,80-90,80,90,10.0,-32.08,9,2.52
144,85-10,85,10,0.0,0.0,0,0.0
145,85-20,85,20,50.0,-21.9,2,1.33
146,85-30,85,30,22.5,-25.18,4,1.56
147,85-40,85,40,17.5,-26.06,6,1.66
148,85-50,85,50,15.0,-33.05,7,2.21
149,85-60,85,60,20.0,-33.36,8,2.63
150,85-70,85,70,5.0,-33.36,7,2.39
151,85-80,85,80,10.0,-33.36,6,2.41
152,85-90,85,90,12.5,-33.36,9,2.64
153,90-10,90,10,0.0,0.0,0,0.0
154,90-20,90,20,67.5,-21.9,2,1.33
155,90-30,90,30,10.0,-24.54,4,1.59
156,90-40,90,40,17.5,-25.79,6,1.64
157,90-50,90,50,12.5,-33.05,7,2.16
158,90-60,90,60,17.5,-33.36,7,2.56
159,90-70,90,70,5.0,-33.36,7,2.34
160,90-80,90,80,10.0,-33.36,6,2.4
161,90-90,90,90,10.0,-33.36,9,2.6
162,95-10,95,10,0.0,0.0,0,0.0
163,95-20,95,20,80.0,-21.9,1,1.0
164,95-30,95,30,10.0,-24.54,3,1.23
