,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh600000-1,-793.47,-15.85,14,-1.13,sh600000,
1,sh600000-2,-592.19,-12.98,5,-2.6,sh600000,
2,sh600000-3,8830.35,205.02,49,4.18,sh600000,
3,sh600000-4,-1428.52,-16.11,44,-0.37,sh600000,
4,sh600000-5,-1143.18,-14.23,24,-0.59,sh600000,
5,sh600000-6,-1720.42,-22.96,16,-1.44,sh600000,
6,sh600000-7,5685.14,86.45,47,1.84,sh600000,
7,sh600000-8,-809.18,-8.57,33,-0.26,sh600000,
8,sh600000-9,-659.37,-7.34,28,-0.26,sh600000,
9,sh600004-10,-543.3,-10.84,5,-2.17,sh600004,
10,sh600004-11,6820.48,144.08,74,1.95,sh600004,
11,sh600004-12,-646.72,-7.95,18,-0.44,sh600004,
12,sh600004-13,-396.11,-5.05,2,-2.52,sh600004,
13,sh600004-14,-620.92,-8.15,23,-0.35,sh600004,
14,sh600004-15,-265.47,-3.63,15,-0.24,sh600004,
15,sh600004-16,6345.87,88.46,67,1.32,sh600004,
16,sh600004-17,2667.09,25.79,84,0.31,sh600004,
17,sh600004-18,-481.11,-4.14,36,-0.11,sh600004,
18,sh600006-20,8518.14,170.36,46,3.7,sh600006,
19,sh600006-21,714.35,7.67,36,0.21,sh600006,
20,sh600006-22,-741.63,-7.69,5,-1.54,sh600006,
21,sh600006-23,16319.2,160.45,44,3.65,sh600006,
22,sh600006-24,-3623.44,-20.93,20,-1.05,sh600006,
23,sh600006-25,5714.75,36.57,55,0.66,sh600006,
24,sh600007-26,-403.69,-8.17,7,-1.17,sh600007,
25,sh600007-27,8716.86,181.67,41,4.43,sh600007,
26,sh600007-28,-1842.25,-20.05,24,-0.84,sh600007,
27,sh600007-29,-714.49,-8.6,6,-1.43,sh600007,
28,sh600007-30,-56.93,-0.72,53,-0.01,sh600007,
29,sh600007-31,-349.58,-4.44,2,-2.22,sh600007,
30,sh600007-32,-780.55,-9.98,4,-2.5,sh600007,
31,sh600007-33,-518.74,-7.09,2,-3.54,sh600007,
32,sh600007-34,1446.18,20.53,44,0.47,sh600007,
33,sh600007-35,-1292.3,-16.75,6,-2.79,sh600007,
34,sh600007-36,-468.61,-6.66,30,-0.22,sh600007,
35,sh600007-37,-360.12,-5.24,25,-0.21,sh600007,
36,sh600007-38,-865.55,-13.02,29,-0.45,sh600007,
37,sh600007-39,-1498.25,-23.89,15,-1.59,sh600007,
38,sh600008-40,-689.28,-13.75,18,-0.76,sh600008,
39,sh600008-41,10449.02,224.45,79,2.84,sh600008,
40,sh600008-42,-490.67,-4.87,26,-0.19,sh600008,
41,sh600008-43,-1371.91,-14.28,4,-3.57,sh600008,
42,sh600008-44,-874.54,-9.57,27,-0.35,sh600008,
43,sh600008-45,3965.56,46.54,41,1.14,sh600008,
44,sh600008-46,328.24,3.13,42,0.07,sh600008,
