,id,profit,profit_percent,bars,profit_percent_per_bar,stock_id,sell_reason
0,sh600000-1,-9.51,-0.19,5,-0.04,sh600000,
1,sh600000-2,-132.09,-2.65,14,-0.19,sh600000,
2,sh600000-3,-118.02,-2.4,3,-0.8,sh600000,
3,sh600004-4,-87.18,-1.75,3,-0.58,sh600004,
4,sh600008-5,77.02,1.54,14,0.11,sh600008,
5,sh600009-6,-29.37,-0.59,4,-0.15,sh600009,
6,sh600009-7,243.08,4.83,13,0.37,sh600009,
7,sh600009-8,-203.35,-4.01,3,-1.34,sh600009,
8,sh600010-9,94.02,1.88,16,0.12,sh600010,
9,sh600012-10,-119.81,-2.37,8,-0.3,sh600012,
10,sh600012-11,384.11,7.76,21,0.37,sh600012,
11,sh600015-12,-203.44,-4.08,12,-0.34,sh600015,
12,sh600015-13,0.0,0.0,9,0.0,sh600015,
13,sh600015-14,43.51,0.89,2,0.45,sh600015,
14,sh600017-15,0.0,0.0,5,0.0,sh600017,
15,sh600017-16,-139.78,-2.8,3,-0.93,sh600017,
16,sh600017-17,98.41,2.02,6,0.34,sh600017,
17,sh600018-18,-264.71,-5.32,5,-1.06,sh600018,
18,sh600018-19,-290.71,-5.97,3,-1.99,sh600018,
19,sh600018-20,739.48,15.68,13,1.21,sh600018,
20,sh600018-21,84.87,1.71,4,0.43,sh600018,
21,sh600018-22,-400.68,-7.8,2,-3.9,sh600018,
22,sh600020-23,-125.0,-2.58,3,-0.86,sh600020,
23,sh600020-24,-304.01,-6.18,11,-0.56,sh600020,
24,sh600023-25,-61.35,-1.22,6,-0.2,sh600023,
25,sh600027-26,1084.58,21.84,9,2.43,sh600027,
26,sh600028-28,-106.93,-2.14,2,-1.07,sh600028,
27,sh600028-29,-212.72,-4.29,3,-1.43,sh600028,
28,sh600028-30,-124.27,-2.58,17,-0.15,sh600028,
29,sh600029-31,65.5,1.29,3,0.43,sh600029,
30,sh600029-32,-37.36,-0.73,12,-0.06,sh600029,
31,sh600029-33,-277.82,-5.54,7,-0.79,sh600029,
32,sh600029-34,0.0,0.0,2,0.0,sh600029,
33,sh600029-35,28.4,0.58,10,0.06,sh600029,
34,sh600029-36,330.96,6.77,7,0.97,sh600029,
35,sh600031-37,-147.41,-2.98,6,-0.5,sh600031,
36,sh600035-38,164.37,3.24,1,3.24,sh600035,
37,sh600036-39,-20.65,-0.42,15,-0.03,sh600036,
38,sh600038-40,-278.02,-5.59,2,-2.79,sh600038,
39,sh600038-41,-530.7,-11.01,3,-3.67,sh600038,
40,sh600039-42,-386.49,-7.56,3,-2.52,sh600039,
41,sh600048-43,-125.46,-2.5,4,-0.62,sh600048,
42,sh600050-44,-166.48,-3.34,5,-0.67,sh600050,
43,sh600051-45,-179.15,-3.59,3,-1.2,sh600051,
44,sh600051-46,-229.59,-4.68,2,-2.34,sh600051,
45,sh600053-47,-35.95,-0.74,5,-0.15,sh600053,
46,sh600054-48,-123.76,-2.57,1,-2.57,sh600054,
47,sh600059-49,315.1,6.32,8,0.79,sh600059,
48,sh600061-50,-288.6,-5.95,3,-1.98,sh600061,
49,sh600061-51,-170.73,-3.51,2,-1.75,sh600061,
50,sh600064-52,11.54,0.23,12,0.02,sh600064,
51,sh600066-53,-147.08,-3.0,5,-0.6,sh600066,
