date,open,high,low,close,volume,turnover,pre-close,changeamount,change
2009-10-30,38.0,68.0,38.0,45.88,15202270.0,0.904897023809524,38.0,7.88,0.2074
2009-11-02,41.29,42.45,41.29,41.29,4007108.0,0.2385183333333333,45.88,-4.59,-0.1
2009-11-03,39.05,39.98,37.34,38.2,4635494.0,0.2759222619047619,41.29,-3.09,-0.0748
2009-11-04,39.8,39.98,38.51,39.53,3217124.0,0.1914954761904762,38.2,1.33,0.0348
2009-11-05,39.45,41.38,38.65,40.0,3096004.0,0.1842859523809523,39.53,0.47,0.0119
2009-11-06,40.01,40.69,38.91,39.28,2048863.0,0.1219561309523809,40.0,-0.73,-0.0182
2009-11-09,39.38,39.38,38.48,39.0,1284542.0,0.0764608333333333,39.27,-0.27,-0.0069
2009-11-10,39.26,39.27,37.82,38.01,1622468.0,0.0965754761904761,39.0,-1.0,-0.0256
2009-11-11,37.61,38.39,37.34,38.1,1139573.0,0.0678317261904761,38.0,0.1,0.0026
2009-11-12,38.3,38.88,37.92,38.76,1221534.0,0.0727103571428571,38.1,0.65,0.0171
2009-11-13,38.91,41.98,38.79,40.67,3203672.0,0.1906947619047619,38.75,1.91,0.0493
2009-11-16,40.9,41.79,39.52,41.39,2224003.0,0.1323811309523809,40.66,0.72,0.0177
2009-11-17,41.11,41.99,40.66,41.1,1734983.0,0.1032727976190476,41.38,-0.29,-0.007
2009-11-18,40.92,42.96,40.91,42.41,2455765.0,0.1461764880952381,41.09,1.31,0.0319
2009-11-19,42.53,46.65,42.53,46.19,4646038.0,0.276549880952381,42.4,3.78,0.0892
2009-11-20,46.01,46.79,44.52,46.72,4001677.0,0.2381950595238095,46.18,0.53,0.0115
2009-11-23,47.01,49.39,46.19,47.3,3115179.0,0.1854273214285714,46.71,0.58,0.0124
2009-11-24,47.3,47.3,42.57,42.57,3349445.0,0.1993717261904762,47.29,-4.73,-0.1
2009-11-25,42.02,44.8,42.02,44.45,2246125.0,0.1336979166666666,42.56,1.88,0.0442
2009-11-26,44.06,47.68,43.02,45.86,3952735.0,0.2352818452380952,44.44,1.41,0.0317
2009-11-27,45.51,47.0,44.02,45.26,2683784.0,0.1597490476190476,45.85,-0.6,-0.0131
2009-11-30,45.56,46.31,43.52,46.21,2211732.0,0.1316507142857143,45.25,0.95,0.021
2009-12-01,45.86,46.56,44.86,45.83,2091593.0,0.1244995833333333,46.2,-0.38,-0.0082
2009-12-03,47.4,50.42,47.01,50.42,4020165.0,0.2392955357142857,45.82,4.58,0.1
2009-12-04,50.8,54.22,47.4,52.62,8231161.0,0.4899500595238095,50.4,2.2,0.0437
2009-12-07,49.6,52.97,49.6,51.85,3293162.0,0.1960215476190476,52.6,-0.77,-0.0146
2009-12-08,51.55,53.62,49.12,52.92,4110128.0,0.2446504761904762,51.83,1.07,0.0206
2009-12-09,52.92,56.77,52.32,53.22,5185127.0,0.3086385119047619,52.9,0.3,0.0057
2009-12-10,52.42,53.01,50.72,51.23,2916622.0,0.1736084523809523,53.2,-1.99,-0.0374
2009-12-11,50.62,51.48,48.03,49.02,2200951.0,0.1310089880952381,51.21,-2.21,-0.0432
2009-12-14,49.28,49.52,46.32,47.7,1823939.0,0.1085677976190476,49.0,-1.32,-0.0269
2009-12-15,48.27,49.6,47.67,48.01,1182101.0,0.0703631547619047,47.68,0.31,0.0065
2009-12-16,47.97,47.97,46.32,46.65,1461558.0,0.0869975,47.99,-1.36,-0.0283
2009-12-17,46.39,46.9,43.12,43.32,1727704.0,0.1028395238095238,46.63,-3.33,-0.0714
2009-12-18,42.52,45.01,40.82,43.36,2306596.0,0.1372973809523809,43.3,0.04,0.0009
2009-12-21,43.42,44.07,42.65,43.73,1136460.0,0.0676464285714285,43.34,0.37,0.0085
2009-12-22,43.9,43.9,41.02,41.78,1271927.0,0.0757099404761904,43.71,-1.95,-0.0446
2009-12-23,41.52,43.42,41.51,42.92,1355656.0,0.0806938095238095,41.76,1.14,0.0273
2009-12-24,42.42,43.89,42.03,43.89,1311171.0,0.0780458928571428,42.9,0.97,0.0226
2009-12-25,43.76,43.78,42.01,42.07,1118631.0,0.0665851785714285,43.87,-1.81,-0.0413
2009-12-28,41.91,42.98,41.69,42.12,955670.0,0.056885119047619,42.06,0.05,0.0012
2009-12-29,42.31,42.6,41.22,42.13,818493.0,0.0487198214285714,42.11,0.01,0.0002
2009-12-30,42.26,43.86,41.89,42.59,1437548.0,0.0855683333333333,42.12,0.46,0.0109
2009-12-31,42.89,43.29,42.41,43.15,812753.0,0.0483781547619047,42.58,0.56,0.0132
2010-01-04,43.7,43.7,42.81,43.18,710119.0,0.042268988095238,43.14,0.03,0.0007
2010-01-05,43.13,43.31,41.89,42.58,904597.0,0.0538450595238095,43.17,-0.6,-0.0139
2010-01-06,42.36,42.69,41.61,41.61,982675.0,0.0584925595238095,42.57,-0.97,-0.0228
2010-01-07,41.51,41.74,40.51,40.65,978501.0,0.0582441071428571,41.6,-0.96,-0.0231
2010-01-08,40.71,40.71,38.98,39.6,1114458.0,0.0663367857142857,40.64,-1.05,-0.0258
2010-01-11,39.51,40.61,39.22,40.06,763981.0,0.0454750595238095,39.59,0.46,0.0116
2010-01-12,40.19,41.31,39.83,41.12,954772.0,0.0568316666666666,40.05,1.06,0.0265
2010-01-13,40.58,41.43,40.3,41.4,871159.0,0.0518547023809523,41.11,0.27,0.0066
2010-01-14,41.41,44.22,41.41,43.52,1867024.0,0.1111323809523809,41.38,2.12,0.0512
2010-01-15,43.53,43.92,42.52,42.97,984892.0,0.0586245238095238,43.5,-0.55,-0.0126
2010-01-18,42.97,43.41,42.53,43.12,718877.0,0.0427902976190476,42.95,0.15,0.0035
2010-01-19,43.13,43.3,41.97,41.97,779014.0,0.0463698809523809,43.1,-1.14,-0.0265
2010-01-20,41.82,41.82,39.62,39.65,1017849.0,0.06058625,41.96,-2.33,-0.0555
2010-01-21,39.72,40.35,39.02,39.9,511976.0,0.0304747619047619,39.63,0.25,0.0063
2010-01-22,39.52,39.52,37.91,38.22,861378.0,0.0512725,39.88,-1.68,-0.0421
2010-01-25,37.9,38.5,37.36,37.75,698857.0,0.0415986309523809,38.2,-0.47,-0.0123
2010-01-26,38.54,38.89,37.09,37.39,569441.0,0.0338952976190476,37.73,-0.35,-0.0093
2010-01-27,37.37,39.5,37.36,38.22,1112213.0,0.0662031547619047,37.38,0.83,0.0222
2010-01-28,37.07,39.32,37.07,38.92,930602.0,0.0553929761904761,38.21,0.69,0.0181
2010-01-29,38.5,39.99,38.32,39.37,998858.0,0.0594558333333333,38.9,0.45,0.0116
2010-02-01,35.92,41.62,35.92,39.32,4061915.0,0.1934245238095238,39.35,-0.05,-0.0013
