date,open,high,low,close,volume,turnover,pre-close,changeamount,change
2020-09-01,52.0,84.0,52.0,77.2,24891183.0,0.7870359739923057,52.0,25.2,0.4846
2020-09-02,68.88,72.88,55.0,55.6,17851293.0,0.564441222953406,77.2,-21.6,-0.2798
2020-09-03,50.13,54.97,45.48,45.52,16013578.0,0.5063343899055244,55.6,-10.08,-0.1813
2020-09-04,42.1,44.5,40.52,40.91,12604203.0,0.3985331345843121,45.52,-4.61,-0.1013
2020-09-07,41.08,53.4,41.08,46.2,18961439.0,0.5995430033060579,40.91,5.29,0.1293
2020-09-08,42.68,43.0,39.68,40.38,14850275.0,0.4695518348275608,46.2,-5.82,-0.126
2020-09-09,38.38,38.39,35.11,35.3,11927384.0,0.3771327495209948,40.38,-5.08,-0.1258
2020-09-10,36.0,36.93,32.6,33.11,9342650.0,0.2954058729317612,35.3,-2.19,-0.062
2020-09-11,32.0,35.75,31.11,34.16,9747658.0,0.3082118478729553,33.11,1.05,0.0317
2020-09-14,33.36,36.0,33.36,35.54,9334750.0,0.2951560823053157,34.16,1.38,0.0404
2020-09-15,34.96,38.98,33.88,37.13,12094659.0,0.3824218288929781,35.54,1.59,0.0447
2020-09-16,36.1,44.56,35.08,44.56,17295816.0,0.5468775586741581,37.13,7.43,0.2001
2020-09-17,43.49,51.99,42.04,44.65,20434271.0,0.6461125764616221,44.56,0.1,0.0022
2020-09-18,42.85,47.37,41.3,44.15,12845162.0,0.4061520332624992,44.66,-0.5,-0.0112
2020-09-21,43.08,44.99,41.09,42.49,9259910.0,0.2927897113580777,44.16,-1.66,-0.0376
2020-09-22,40.99,40.99,37.97,38.04,8723415.0,0.275826240201765,42.5,-4.45,-0.1047
2020-09-23,38.12,39.92,37.62,39.13,6385418.0,0.2019009572577567,38.05,1.09,0.0286
2020-09-24,38.69,43.71,37.55,41.64,11346851.0,0.3587768379080484,39.14,2.51,0.0641
2020-09-25,40.99,42.69,38.37,38.49,7547146.0,0.2386337123057644,41.65,-3.15,-0.0756
2020-09-28,38.01,38.94,35.0,35.64,6117844.0,0.1934405171209815,38.5,-2.85,-0.074
2020-09-29,36.42,36.62,34.99,35.07,4200395.0,0.1328125694137322,35.65,-0.57,-0.016
2020-09-30,35.36,37.29,35.0,36.04,4968492.0,0.1570990796416939,35.08,0.96,0.0274
2020-10-09,36.94,38.95,36.84,38.5,5762087.0,0.1821918128308085,36.04,2.46,0.0683
2020-10-12,39.1,40.98,38.5,40.25,6846686.0,0.2164858208880423,38.5,1.75,0.0455
2020-10-13,40.31,40.4,38.86,39.3,5473127.0,0.1730551673348987,40.25,-0.95,-0.0236
2020-10-14,38.97,45.0,38.89,43.36,12007037.0,0.3796513030359647,39.3,4.06,0.1033
2020-10-15,42.06,45.5,40.7,45.38,12297110.0,0.3888231405530433,43.36,2.02,0.0466
2020-10-16,44.17,46.9,42.24,42.51,9670587.0,0.3057749347880464,45.38,-2.87,-0.0632
2020-10-19,41.38,43.21,40.6,41.85,5777688.0,0.1826851018894384,42.51,-0.66,-0.0155
2020-10-20,41.8,50.22,40.8,50.22,11645073.0,0.3682063391991655,41.85,8.37,0.2
2020-10-21,58.0,60.26,52.52,53.68,22879344.0,0.7234235025850325,50.22,3.46,0.0689
2020-10-22,52.03,55.86,51.35,51.57,16156513.0,0.5108538611955226,53.68,-2.11,-0.0393
2020-10-23,50.2,58.03,50.19,53.74,16361706.0,0.5173418723363109,51.57,2.17,0.0421
2020-10-26,52.67,57.9,48.0,57.13,15292395.0,0.4835312565698491,53.74,3.39,0.0631
2020-10-27,58.88,62.1,55.0,55.0,15444677.0,0.4883462712757189,57.13,-2.13,-0.0373
2020-10-28,52.5,57.88,52.5,56.55,11208392.0,0.3543988935603249,55.0,1.55,0.0282
2020-10-29,54.0,55.56,52.23,52.39,9148012.0,0.289251601039344,56.55,-4.17,-0.0737
2020-10-30,53.01,53.36,46.91,47.84,9827082.0,0.3107231606216649,52.38,-4.54,-0.0867
2020-11-02,47.51,50.16,47.31,49.48,6527349.0,0.2063886830048496,47.84,1.63,0.0341
2020-11-03,50.41,53.01,49.83,50.92,7282828.0,0.2302762238499647,49.47,1.44,0.0291
2020-11-04,50.22,51.51,48.89,49.56,5252923.0,0.1660925223847972,50.91,-1.36,-0.0267
2020-11-05,51.03,57.61,50.31,57.28,14380327.0,0.4546925176988515,49.55,7.72,0.1558
2020-11-06,55.87,55.89,52.26,54.06,9904249.0,0.3131631091369711,57.27,-3.22,-0.0562
2020-11-09,54.98,55.36,52.51,54.73,8214567.0,0.2597369413808115,54.05,0.67,0.0124
2020-11-10,54.73,54.73,51.51,53.06,5635573.0,0.1781915582340839,54.72,-1.67,-0.0305
2020-11-11,52.89,56.81,51.89,54.29,9290375.0,0.2937529862232248,53.05,1.23,0.0232
2020-11-12,53.01,53.81,48.69,49.11,7998391.0,0.2529016580311306,54.28,-5.18,-0.0954
2020-11-13,48.61,49.46,47.31,48.78,4169621.0,0.1318395242569938,49.1,-0.33,-0.0067
2020-11-16,48.9,50.64,48.89,49.34,4076545.0,0.128896548010533,48.77,0.56,0.0115
2020-11-17,49.01,51.62,48.02,50.32,5363029.0,0.1695739713361145,49.33,0.97,0.0197
2020-11-18,49.69,50.26,47.7,47.9,5037153.0,0.1592700763761716,50.3,-2.42,-0.0481
2020-11-19,47.32,47.32,45.52,46.3,4378832.0,0.1384545808075364,47.88,-1.6,-0.0334
2020-11-20,46.68,47.52,46.03,46.35,3447943.0,0.1090207394833324,46.28,0.05,0.0011
2020-11-23,46.4,47.37,44.59,47.37,4522449.0,0.1429956163009821,46.33,1.02,0.022
2020-11-24,47.11,49.39,46.36,48.74,5698965.0,0.1801959541064424,47.35,1.38,0.0291
2020-11-25,48.82,49.52,45.7,46.01,4149635.0,0.1312075855911533,48.73,-2.73,-0.056
2020-11-26,45.41,46.8,44.81,44.91,3127655.0,0.0988935318677664,46.0,-1.1,-0.0239
2020-11-27,45.0,45.97,43.92,44.48,2851312.0,0.0901558241356366,44.9,-0.43,-0.0096
2020-11-30,44.31,44.36,42.97,43.27,3269274.0,0.103371392466068,44.47,-1.21,-0.0272
2020-12-01,43.27,44.08,42.75,43.54,2541358.0,0.0803553679547146,43.26,0.27,0.0062
2020-12-02,43.97,44.51,43.21,44.44,3195182.0,0.1010286725806758,43.53,0.9,0.0207
2020-12-03,44.29,44.51,42.77,42.93,3398558.0,0.1074592318773817,44.43,-1.51,-0.034
2020-12-04,42.43,43.48,42.07,42.94,2221896.0,0.0702542776881921,42.92,0.01,0.0002
2020-12-07,42.94,44.0,42.22,42.25,2237455.0,0.0707462387460232,42.93,-0.69,-0.0161
2020-12-08,42.25,42.76,41.23,41.51,2458197.0,0.0777258947539763,42.24,-0.74,-0.0175
2020-12-09,41.84,42.45,40.36,42.07,3190275.0,0.1008735178206798,41.5,0.56,0.0135
2020-12-10,41.81,46.38,41.02,44.2,6948254.0,0.2196973062483986,42.06,2.13,0.0506
2020-12-11,43.6,43.96,41.81,42.04,3770910.0,0.1192326545784234,44.19,-2.16,-0.0489
2020-12-14,41.86,42.62,40.01,41.01,3329189.0,0.1052658488437239,42.03,-1.03,-0.0245
2020-12-15,41.01,41.22,39.8,40.17,2652094.0,0.0838567369180143,41.0,-0.84,-0.0205
2020-12-16,40.17,40.87,38.04,38.31,3233742.0,0.1022479037902628,40.16,-1.86,-0.0463
2020-12-17,38.12,39.29,37.02,39.1,3007480.0,0.0950937105344643,38.3,0.79,0.0206
2020-12-18,39.04,39.77,38.61,38.62,2293598.0,0.072521428004318,39.09,-0.48,-0.0123
2020-12-21,38.98,39.57,38.7,38.94,2126414.0,0.0672352259673987,38.61,0.32,0.0083
2020-12-22,39.09,39.15,37.39,37.52,2553294.0,0.0807327731341138,38.93,-1.42,-0.0365
2020-12-23,37.48,37.96,36.69,37.56,2298807.0,0.0726861317224388,37.51,0.04,0.0011
2020-12-24,37.89,37.89,35.67,35.67,2498834.0,0.0790107987649719,37.55,-1.88,-0.0501
2020-12-25,35.67,38.01,35.58,36.71,2582265.0,0.0816488091137026,35.67,1.03,0.0289
2020-12-28,36.51,36.85,34.82,35.24,2448385.0,0.0774156484721176,36.7,-1.46,-0.0398
2020-12-29,34.98,35.92,34.8,35.22,1887943.0,0.0596949955270087,35.24,-0.02,-0.0006
2020-12-30,35.02,36.49,35.02,35.4,2242877.0,0.070917677325338,35.22,0.18,0.0051
2020-12-31,35.3,37.6,35.3,36.81,3342558.0,0.1056885641456162,35.4,1.41,0.0398
2021-01-04,36.55,38.6,36.55,38.3,3518643.0,0.1112562074946863,36.81,1.49,0.0405
2021-01-05,38.3,38.63,37.4,37.92,2981097.0,0.0942595046993363,38.3,-0.38,-0.0099
2021-01-06,38.21,38.59,36.16,36.45,2697358.0,0.085287942350347,37.92,-1.47,-0.0388
2021-01-07,36.13,36.88,33.05,33.81,3940571.0,0.1245971770434066,36.45,-2.64,-0.0724
2021-01-08,33.68,34.08,31.9,33.03,2372399.0,0.0750130420745117,33.81,-0.78,-0.0231
2021-01-11,32.91,33.48,31.48,31.93,2564189.0,0.0810772628651421,33.03,-1.1,-0.0333
2021-01-12,31.4,32.87,31.4,31.94,1826106.0,0.0577397673032733,31.93,0.01,0.0003
2021-01-13,32.04,32.31,29.8,29.95,2760111.0,0.0872721336391234,31.94,-1.99,-0.0623
2021-01-14,29.8,32.58,29.73,32.48,3861411.0,0.1220942117282896,29.95,2.53,0.0845
2021-01-15,32.01,37.14,31.85,34.58,5981610.0,0.189132925196529,32.48,2.1,0.0647
2021-01-18,35.01,36.49,34.52,34.71,4313590.0,0.1363916896618963,34.58,0.12,0.0035
2021-01-19,35.16,36.27,34.27,35.29,3756008.0,0.118761467247374,34.7,0.58,0.0167
2021-01-20,35.15,36.3,34.7,35.32,2823679.0,0.0892820944672103,35.28,0.04,0.0011
2021-01-21,35.1,36.98,34.38,36.31,4356520.0,0.1377490961926944,35.32,0.99,0.028
2021-01-22,36.0,36.12,34.81,34.97,3008368.0,0.0951217882656394,36.31,-1.34,-0.0369
2021-01-25,34.44,34.72,33.25,33.25,2642910.0,0.0835663474100047,34.97,-1.72,-0.0492
2021-01-26,33.49,36.18,33.25,34.35,3782278.0,0.1195921001279718,33.25,1.1,0.0331
2021-01-27,33.85,35.67,33.79,35.43,3686033.0,0.1165489230593331,34.35,1.08,0.0314
2021-01-28,35.0,36.3,33.8,33.92,2933742.0,0.0927621837986621,35.43,-1.51,-0.0426
2021-01-29,34.25,38.8,33.8,37.42,7273328.0,0.2299758427168973,33.92,3.5,0.1032
2021-02-01,37.58,39.58,36.05,37.58,7413295.0,0.2344014686171119,37.42,0.16,0.0043
2021-02-02,37.02,37.87,34.97,35.16,5592917.0,0.1768428153275449,37.58,-2.42,-0.0644
2021-02-03,35.15,35.48,32.56,32.6,4400163.0,0.1391290471180058,35.16,-2.56,-0.0728
2021-02-04,32.54,33.65,31.5,33.06,3355557.0,0.1060995803928523,32.6,0.46,0.0141
2021-02-05,33.07,33.37,30.8,30.91,2970634.0,0.0939286744050959,33.06,-2.15,-0.065
2021-02-08,30.89,31.11,29.82,29.84,2297297.0,0.0726383869318144,30.91,-1.08,-0.0349
2021-02-09,30.39,30.99,29.97,30.2,1873884.0,0.0592504630691356,29.83,0.36,0.0121
2021-02-10,30.81,30.81,29.44,30.57,1960219.0,0.0619802951873851,30.19,0.37,0.0123
2021-02-18,31.19,31.76,30.91,31.4,2092373.0,0.0661588813199518,30.56,0.83,0.0272
2021-02-19,31.11,32.19,30.81,32.19,2404423.0,0.0760256110645485,31.39,0.79,0.0252
2021-02-22,32.46,32.91,31.48,31.76,3021100.0,0.095524362222083,32.18,-0.43,-0.0134
2021-02-23,31.91,31.99,30.6,30.88,2165541.0,0.0684723851877699,31.75,-0.88,-0.0277
2021-02-24,30.82,31.94,30.82,31.17,1963255.0,0.0620762906737001,30.87,0.29,0.0094
2021-02-25,31.46,31.59,30.02,30.05,2076101.0,0.0656443758676074,31.16,-1.12,-0.0359
2021-02-26,29.81,30.49,29.39,30.01,1409212.0,0.044557968136012,30.04,-0.04,-0.0013
2021-03-01,29.41,30.71,29.41,30.65,2026770.0,0.0607909418116376,30.0,0.64,0.0213
2021-03-02,30.71,30.89,29.88,30.4,1624648.0,0.0487296940611877,30.64,-0.25,-0.0082
2021-03-03,30.07,30.89,30.07,30.88,1910810.0,0.0573128374325134,30.39,0.48,0.0158
2021-03-04,30.79,31.56,30.59,31.11,2596777.0,0.0778877324535093,30.87,0.23,0.0075
2021-03-05,31.01,32.74,30.82,32.14,3038163.0,0.0911266646670665,31.1,1.03,0.0331
2021-03-08,32.14,32.81,31.06,31.21,2870421.0,0.0860954109178164,32.13,-0.93,-0.0289
2021-03-09,31.46,31.68,29.3,30.21,2565044.0,0.0769359328134373,31.2,-1.0,-0.0321
2021-03-10,30.5,30.69,29.52,29.91,1734640.0,0.0520287942411517,30.2,-0.3,-0.0099
2021-03-11,29.71,30.22,29.42,30.09,1525046.0,0.0457422315536892,29.9,0.18,0.006
